clip_name,frame_nr,person_id,nose_x,nose_y,neck_x,neck_y,rshoulder_x,rshoulder_y,relbow_x,relbow_y,rwrist_x,rwrist_y,lshoulder_x,lshoulder_y,lelbow_x,lelbow_y,lwrist_x,lwrist_y,midhip_x,midhip_y,rhip_x,rhip_y,rknee_x,rknee_y,rankle_x,rankle_y,lhip_x,lhip_y,lknee_x,lknee_y,lankle_x,lankle_y,reye_x,reye_y,leye_x,leye_y,rear_x,rear_y,lear_x,lear_y,lbigtoe_x,lbigtoe_y,lsmalltoe_x,lsmalltoe_y,lheal_x,lheal_y,rbigtoe_x,rbigtoe_y,rsmalltoe_x,rsmalltoe_y,rheal_x,rheal_y,label,status
1P-Ana-780p,0,0,384.51,374.092,0.901934,394.898,429.678,0.893129,321.665,426.221,0.896145,290.099,517.179,0.9266679999999999,297.224,569.361,0.8736379999999999,461.102,433.14,0.931566,485.765,541.607,0.958047,436.775,562.357,0.854198,377.52,653.209,0.777655,339.11,653.076,0.719418,349.37,820.779,0.850115,352.977,977.819,0.798585,426.217,656.569,653.076,0.719418,820.814,0.884618,384.394,988.314,0.81154,373.889,353.133,0.8931159999999999,405.259,356.567,,
1P-Ana-780p,1,0,384.434,377.367,0.901137,387.966,429.738,0.888454,321.519,426.249,0.9060119999999999,286.756,517.168,0.915628,297.14,569.353,0.8946459999999999,457.812,433.169,0.937352,485.558,541.602,0.957818,433.284,562.392,0.8771,377.447,653.224,0.7886200000000001,335.584,653.062,0.7167049999999999,346.085,820.581,0.8490719999999999,349.456,970.877,0.834602,426.21,656.589,653.062,0.7167049999999999,820.79,0.871953,380.976,988.174,0.793082,373.905,356.539,0.8880659999999999,402.035,363.468,,
1P-Ana-780p,2,0,380.987,380.877,0.9001039999999999,384.482,429.951,0.9031800000000001,321.452,429.629,0.917138,286.635,517.245,0.8799619999999999,293.779,569.512,0.9061619999999999,457.724,433.421,0.9228639999999999,482.192,544.892,0.946164,429.67,569.228,0.901056,374.071,656.762,0.785694,328.575,656.571,0.7328169999999999,345.913,824.091,0.849722,346.073,988.111,0.844169,419.333,660.174,656.571,0.7328169999999999,824.286,0.857374,377.537,991.723,0.835229,373.77,366.937,0.8675459999999999,401.918,370.387,,
1P-Ana-780p,3,0,377.54,380.978,0.91544,381.021,433.336,0.9212969999999999,318.18,429.823,0.936082,279.738,524.089,0.8219839999999999,293.679,572.824,0.9319369999999999,457.537,436.886,0.886181,482.151,545.086,0.9153739999999999,429.688,569.379,0.9145629999999999,373.908,656.569,0.783056,325.174,653.084,0.733903,342.494,824.129,0.8103309999999999,346.024,991.729,0.8370519999999999,408.959,656.739,653.084,0.733903,824.19,0.817492,377.392,995.303,0.81723,366.995,370.41,0.859811,401.695,370.472,,
1P-Ana-780p,4,0,377.356,384.518,0.906092,377.552,436.751,0.920972,314.689,433.303,0.911582,269.368,534.554,0.854231,290.25,572.943,0.947564,454.111,440.337,0.8418749999999999,478.665,545.162,0.881311,426.324,572.773,0.902598,370.487,660.259,0.7480669999999999,321.735,656.763,0.761523,339.025,831.135,0.7869400000000001,345.919,998.705,0.810707,405.472,667.148,656.763,0.761523,834.653,0.7770929999999999,377.343,998.704,0.8343229999999999,360.008,373.856,0.882949,398.252,373.847,,
1P-Ana-780p,5,0,373.923,387.882,0.891717,377.344,436.759,0.940369,314.491,433.294,0.8918689999999999,265.948,537.947,0.904894,290.068,572.955,0.952025,447.314,443.713,0.8310369999999999,471.765,548.569,0.8528709999999999,422.827,572.849,0.9029079999999999,366.901,660.215,0.720911,321.541,656.758,0.780651,335.524,831.174,0.772498,345.867,995.287,0.8125319999999999,405.214,667.128,656.758,0.780651,838.224,0.784069,374.035,995.348,0.8352259999999999,353.03,373.846,0.912194,384.531,373.833,,
1P-Ana-780p,6,0,373.782,387.878,0.871263,374.095,436.822,0.9367559999999999,311.165,433.387,0.8777229999999999,265.843,537.917,0.9290100000000001,290.084,573.03,0.929141,447.19,443.723,0.827757,471.766,548.516,0.855293,419.318,572.953,0.876057,363.503,663.638,0.711606,321.512,660.167,0.764631,332.026,831.213,0.777076,342.574,991.788,0.822584,401.998,667.194,660.167,0.764631,834.693,0.7955669999999999,373.967,991.82,0.8563109999999999,349.681,373.851,0.916816,381.078,373.871,,
1P-Ana-780p,7,0,373.792,398.44,0.9148339999999999,373.992,454.208,0.9314469999999999,311.079,454.101,0.8278059999999999,265.911,544.888,0.91837,290.318,579.98,0.8807649999999999,436.889,454.266,0.861305,468.218,562.469,0.846843,415.835,573.099,0.8556189999999999,356.555,677.561,0.727313,318.255,674.063,0.746315,325.14,831.253,0.772195,342.509,998.756,0.782285,401.743,677.677,674.063,0.746315,841.585,0.791755,373.993,1002.22,0.8050309999999999,349.724,377.506,0.920373,381.087,377.522,,
1P-Ana-780p,8,0,370.474,408.858,0.899399,373.937,464.698,0.939056,311.081,461.253,0.876007,265.796,562.438,0.9068029999999999,290.117,600.738,0.916461,436.777,468.273,0.8573029999999999,468.245,573.022,0.8906919999999999,412.309,597.454,0.8961939999999999,356.483,684.682,0.7485600000000001,318.214,684.579,0.7755400000000001,325.113,852.172,0.823117,335.6,1016.26,0.7848809999999999,401.699,688.086,684.579,0.7755400000000001,855.572,0.831704,373.906,1019.58,0.836768,349.63,398.412,0.911445,380.913,398.357,,
1P-Ana-780p,9,0,370.331,412.375,0.8607859999999999,373.901,471.71,0.916099,307.65,464.826,0.844753,265.752,569.364,0.9391189999999999,290.06,600.983,0.900311,436.721,478.692,0.865605,468.205,576.546,0.860455,415.818,601.028,0.8573200000000001,356.518,691.599,0.721142,318.205,688.161,0.762794,325.119,859.138,0.797989,342.421,1023.11,0.797731,401.772,695.125,688.161,0.762794,869.611,0.815549,373.871,1023.15,0.8251809999999999,349.556,401.858,0.952537,377.559,401.809,,
1P-Ana-780p,10,0,366.977,415.898,0.8446600000000001,373.934,482.108,0.937481,307.609,478.575,0.8306129999999999,265.813,572.787,0.934527,290.141,604.427,0.888508,436.773,485.464,0.885859,468.182,586.811,0.8447479999999999,415.797,614.778,0.832484,356.502,702.063,0.729308,318.2,698.572,0.752595,325.202,862.646,0.780756,345.886,1030.09,0.793863,401.742,705.493,698.572,0.752595,869.628,0.8191039999999999,373.929,1033.64,0.800376,349.499,401.965,0.967055,377.522,401.945,,
1P-Ana-780p,11,0,370.396,415.814,0.863628,374.019,485.476,0.951634,311.178,482.159,0.8600319999999999,265.928,576.408,0.9009389999999999,290.294,611.324,0.869857,436.846,485.618,0.8961600000000001,471.637,590.397,0.8495039999999999,422.822,621.754,0.851692,359.953,702.037,0.716646,321.491,698.509,0.758203,332.143,873.012,0.7776029999999999,345.964,1040.49,0.829681,401.775,705.485,698.509,0.758203,876.41,0.818619,377.293,1040.6,0.837129,349.619,401.941,0.958197,377.641,401.915,,
1P-Ana-780p,12,0,373.916,419.274,0.9020600000000001,377.383,485.599,0.9575549999999999,318.051,485.489,0.912604,276.196,576.517,0.8354509999999999,293.59,614.83,0.872919,440.316,485.751,0.8880089999999999,475.164,593.896,0.885215,426.38,625.202,0.900034,366.977,705.458,0.7267100000000001,321.701,698.571,0.748477,339.075,876.477,0.810009,346.099,1037.13,0.843236,402.02,705.588,698.571,0.748477,876.518,0.810576,377.563,1044.07,0.828607,353.099,401.991,0.919369,384.487,401.985,,
1P-Ana-780p,13,0,373.896,422.872,0.920187,377.483,489.055,0.948928,318.063,485.727,0.933554,279.68,583.346,0.8210029999999999,293.792,621.759,0.885448,443.839,489.216,0.8720479999999999,478.707,597.373,0.932098,429.791,628.697,0.935813,370.468,708.89,0.75424,321.762,702.04,0.7479859999999999,342.531,876.442,0.823863,346.11,1043.97,0.8513189999999999,405.416,709.045,702.04,0.7479859999999999,876.658,0.827943,377.581,1047.53,0.8305009999999999,353.129,405.315,0.918827,387.888,405.324,,
1P-Ana-780p,14,0,373.899,426.213,0.929855,377.576,489.247,0.936789,318.123,489.076,0.944303,286.559,583.427,0.827461,293.832,621.83,0.896146,450.657,492.662,0.850973,482.038,600.666,0.941781,429.782,628.951,0.91432,370.505,705.584,0.754945,325.032,702.02,0.733305,345.864,879.966,0.8391419999999999,349.364,1047.46,0.8583700000000001,405.463,709.03,702.02,0.733305,880.077,0.84904,381.017,1047.61,0.804735,353.124,405.398,0.917087,384.526,405.357,,
1P-Ana-780p,15,0,377.44,419.306,0.8971739999999999,384.418,492.566,0.887809,321.65,489.315,0.9168600000000001,290.244,590.399,0.8965409999999999,304.185,625.304,0.886845,454.113,492.63,0.867389,485.595,597.46,0.963183,433.308,635.761,0.876177,374.065,705.493,0.7390749999999999,339.013,698.602,0.6729200000000001,349.506,880.053,0.8114129999999999,356.479,1047.52,0.79603,408.943,708.904,698.602,0.6729200000000001,880.085,0.8575229999999999,391.439,1047.73,0.756941,366.942,405.213,0.899407,398.357,402.012,,
1P-Ana-780p,16,0,377.581,426.361,0.928064,398.249,492.736,0.876784,325.23,492.682,0.870903,293.605,593.781,0.9274429999999999,314.617,625.386,0.899779,457.803,496.124,0.8910629999999999,489.189,600.764,0.977858,443.832,635.723,0.838374,380.879,709.132,0.767416,345.953,709.061,0.7704449999999999,352.97,883.479,0.822264,373.806,1047.65,0.8367589999999999,426.189,712.467,709.061,0.7704449999999999,883.643,0.8317629999999999,401.828,1051.02,0.826575,370.506,405.535,0.911303,401.705,405.494,,
1P-Ana-780p,17,0,384.464,426.269,0.8787459999999999,401.723,499.594,0.895983,332.119,496.138,0.835795,293.757,597.156,0.9234739999999999,318.169,628.644,0.9230119999999999,461.268,499.684,0.8663339999999999,492.778,600.907,0.9070509999999999,450.786,635.744,0.84704,384.522,712.611,0.730565,349.402,712.52,0.769798,363.48,883.58,0.7830800000000001,373.978,1047.69,0.835773,429.702,716.002,712.52,0.769798,883.667,0.786916,405.5,1051.1,0.809767,374.004,405.48,0.9377449999999999,402.03,405.39,,
